sensor,temperature,humidity,zone,location,timestamp
{'EEC412FDCADF'},27.760000,34.787498,zone1,top,2024-06-18 12:06:15
{'C4D912ED63C6'},32.044998,27.397499,zone2,bottom,2024-06-18 12:06:15
{'DBC358D90370'},31.430000,27.260000,zone3,top,2024-06-18 12:06:16
{'C571D4304234'},30.455000,31.857500,zone2,top,2024-06-18 12:16:15
{'C631F5295273'},26.510000,37.577499,zone1,bottom,2024-06-18 12:16:16
{'C4D912ED63C6'},31.100000,29.860001,zone2,bottom,2024-06-18 12:16:16
{'DBC358D90370'},30.490000,31.299999,zone3,top,2024-06-18 12:26:16
{'C571D4304234'},30.485001,32.799999,zone2,top,2024-06-18 12:26:16
{'C37E14567097'},29.040001,34.439999,zone3,bottom,2024-06-18 12:36:16
{'DBC358D90370'},29.940001,33.099998,zone3,top,2024-06-18 12:36:17
{'C4D912ED63C6'},30.525000,32.637501,zone2,bottom,2024-06-18 12:36:17
{'C631F5295273'},26.094999,41.099998,zone1,bottom,2024-06-18 12:36:17
{'EEC412FDCADF'},26.330000,41.035000,zone1,top,2024-06-18 12:36:19
{'C571D4304234'},30.110001,34.275002,zone2,top,2024-06-18 12:36:20
{'DBC358D90370'},30.125000,33.977501,zone3,top,2024-06-18 12:46:16
{'EEC412FDCADF'},26.655001,42.142502,zone1,top,2024-06-18 12:46:16
{'C4D912ED63C6'},30.920000,33.222500,zone2,bottom,2024-06-18 12:46:17
{'C4D912ED63C6'},30.045000,34.455002,zone2,bottom,2024-06-18 12:56:16
{'DBC358D90370'},29.455000,34.840000,zone3,top,2024-06-18 12:56:17
{'C37E14567097'},28.570000,36.310001,zone3,bottom,2024-06-18 12:56:16
{'C4D912ED63C6'},29.680000,35.125000,zone2,bottom,2024-06-18 13:06:16
{'DBC358D90370'},29.190001,35.630001,zone3,top,2024-06-18 13:06:17
{'C631F5295273'},24.655001,45.185001,zone1,bottom,2024-06-18 13:06:17
{'EEC412FDCADF'},24.985001,45.092499,zone1,top,2024-06-18 13:16:17
{'C37E14567097'},27.665001,37.915001,zone3,bottom,2024-06-18 13:16:18
{'DBC358D90370'},27.600000,36.785000,zone3,top,2024-06-18 13:26:17
{'C571D4304234'},27.540001,37.855000,zone2,top,2024-06-18 13:26:18
{'C37E14567097'},26.260000,39.910000,zone3,bottom,2024-06-18 13:36:18
{'DBC358D90370'},26.795000,38.549999,zone3,top,2024-06-18 13:36:18
{'C37E14567097'},25.510000,40.755001,zone3,bottom,2024-06-18 13:46:18
{'C571D4304234'},26.315001,40.145000,zone2,top,2024-06-18 13:46:18
{'C631F5295273'},23.320000,47.162498,zone1,bottom,2024-06-18 13:46:19
{'C37E14567097'},25.915001,40.392502,zone3,bottom,2024-06-18 13:56:18
{'C571D4304234'},26.665001,40.029999,zone2,top,2024-06-18 13:56:18
{'EEC412FDCADF'},24.115000,46.650002,zone1,top,2024-06-18 13:56:20
{'C37E14567097'},25.500000,40.612499,zone3,bottom,2024-06-18 14:06:19
{'C4D912ED63C6'},28.240000,36.447498,zone2,bottom,2024-06-18 14:06:19
{'EEC412FDCADF'},23.985001,46.145000,zone1,top,2024-06-18 14:06:20
{'DBC358D90370'},26.014999,39.395000,zone3,top,2024-06-18 14:16:19
{'C571D4304234'},26.385000,39.972500,zone2,top,2024-06-18 14:16:19
{'C4D912ED63C6'},27.580000,36.972500,zone2,bottom,2024-06-18 14:16:20
{'C631F5295273'},23.990000,46.035000,zone1,bottom,2024-06-18 14:26:19
{'C4D912ED63C6'},27.709999,37.032501,zone2,bottom,2024-06-18 14:26:20
{'C37E14567097'},25.805000,40.617500,zone3,bottom,2024-06-18 14:26:20
